Product ID,SKU,Description
1033,100-01,"A timeless classic that never goes out of style, this solid-coloured silk tie is just as good for parties as it is for work. The tie is handmade from 100% silk and is woven with a subtle striped texture for a luxurious feel. As the tie is developed and designed in Sweden, all details have been carefully considered to create the perfect tie. The inner material is made of a wool blend to give the tie a neat knot and straight fall. The material breathes well, making it comfortable to wear around the neck. The back of the tie is made of silk fabric, which is called self-tipping. Reinforced seams in exposed areas to ensure high durability."
1287,300-04,"Burgundy hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a dark red bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1288,300-05,"Dark purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1289,300-06,"Purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1290,300-07,"Light purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1291,300-08,"Turquoise hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1292,300-09,"Navy hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a dark blue silk bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
