Product ID,SKU,Description
1309,300-10-18,"Dark silver kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a grey children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1310,300-10-19,"Dark brown kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1311,300-10-20,"Dark pink kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1312,300-10-21,"Light pink kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1313,300-10-22,"Brown kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1314,300-10-23,"Mint green kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1315,300-10-24,"Apricot kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1316,300-10-25,"Dark coral kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1317,300-10-26,"Rust orange kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1318,300-10-28,"Mint blue kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1319,300-10-29,"Olive green kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1320,300-10-31,"Cerise pink kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1321,300-10-33,"Teal kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a dark turquoise children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1322,300-10-38,"Light yellow kids bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
